brand,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,car_age,horsepower,engine_size,cylinder_count
Ford,51000,E85 Flex Fuel,Automatic,Black,Black,Accident reported,Yes,10300,12,300.0,3.7,6.0
Hyundai,34742,Gasoline,Automatic,Other,Grey,Accident reported,Yes,38005,4,,3.8,
Lexus,22372,Gasoline,Automatic,Blue,Black,None reported,Unknown,54598,3,,,
INFINITI,88900,Hybrid,Automatic,Black,Black,None reported,Yes,15500,10,354.0,3.5,6.0
Audi,9835,Gasoline,Automatic,White,Black,None reported,Unknown,34999,4,,2.0,
Acura,136397,Gasoline,Unknown,Silver,Other,None reported,Unknown,14798,9,,,
Audi,84000,Gasoline,Automatic,Blue,Black,None reported,Yes,31000,8,292.0,2.0,4.0
BMW,242000,Gasoline,Automatic,Green,Green,None reported,Yes,7300,24,282.0,4.4,8.0
Lexus,23436,Gasoline,Automatic,Black,Black,None reported,Yes,41927,4,311.0,3.5,6.0
Tesla,34000,Unknown,Automatic,Black,Black,None reported,Yes,69950,5,534.0,,
Land,27608,Gasoline,Automatic,White,Other,None reported,Unknown,73897,4,,,
Aston,22770,Gasoline,Automatic,Silver,Black,None reported,Yes,184606,6,715.0,5.2,12.0
Toyota,12500,Gasoline,Automatic,Yellow,Black,None reported,Yes,53500,4,382.0,3.0,6.0
Lincoln,18196,Gasoline,Unknown,Black,Brown,None reported,Yes,62000,3,400.0,3.0,6.0
Jaguar,15903,Gasoline,Automatic,Silver,Black,None reported,Unknown,47998,5,,,
Land,79800,Gasoline,Automatic,White,Black,None reported,Yes,29990,12,375.0,5.0,8.0
Mercedes-Benz,1685,Gasoline,Automatic,Grey,White,None reported,Yes,250000,4,,2.0,
Dodge,61074,Gasoline,Automatic,Black,Grey,None reported,Yes,16800,12,305.0,3.6,6.0
Nissan,74000,Gasoline,Manual,Purple,Other,None reported,Yes,11000,22,287.0,3.5,6.0
Jaguar,35250,Gasoline,Automatic,Green,Black,None reported,Yes,68750,7,550.0,5.0,8.0
Genesis,5400,Gasoline,Automatic,Green,Other,Unknown,Unknown,60000,2,375.0,3.5,6.0
Chevrolet,133510,E85 Flex Fuel,Automatic,Blue,Black,None reported,Yes,4500,25,120.0,2.2,4.0
