Index,brand,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,car_age,horsepower,engine_size,cylinder_count
2473,Ford,73049,Gasoline,Automatic,Grey,Black,Accident reported,Yes,30510,6,,3.5,
1338,GMC,9980,Gasoline,Automatic,Black,Black,None reported,Yes,82000,1,355.0,5.3,8.0
1613,BMW,55250,Gasoline,Manual,Blue,White,None reported,Yes,49999,8,425.0,3.0,6.0
1610,Lexus,77300,Gasoline,Automatic,White,Black,None reported,Yes,30000,7,306.0,3.5,6.0
2600,Ford,33700,E85 Flex Fuel,Automatic,Grey,Black,Accident reported,Yes,12000,6,160.0,2.0,4.0
3945,MINI,95070,Gasoline,Automatic,Blue,Black,None reported,Yes,12750,8,181.0,1.6,4.0
423,Maserati,49750,Gasoline,Unknown,White,Red,None reported,Yes,27995,7,404.0,3.0,6.0
3737,Ford,5500,Gasoline,Automatic,Grey,Black,None reported,Yes,70000,1,400.0,3.5,6.0
1096,Acura,25779,Gasoline,Automatic,White,Other,Accident reported,,30999,5,,3.5,
506,Mercedes-Benz,17994,Gasoline,Automatic,Other,Other,None reported,Yes,87500,3,,3.0,
2910,Jaguar,78049,Gasoline,Automatic,White,Other,None reported,Yes,13980,18,300.0,4.2,8.0
3572,Dodge,33700,Unknown,Manual,Black,Black,None reported,Yes,33500,12,,,
1988,Chevrolet,74000,Gasoline,Automatic,Yellow,Black,None reported,Yes,19800,7,275.0,2.0,4.0
2519,Porsche,85000,Gasoline,Automatic,Grey,Other,,,21500,13,300.0,3.6,6.0
500,Toyota,209500,Gasoline,Automatic,Blue,Grey,None reported,Yes,8500,19,282.0,4.7,8.0
3493,Honda,145000,Gasoline,Automatic,Green,Black,None reported,Yes,9000,14,271.0,3.5,6.0
3501,Hyundai,127500,Gasoline,Manual,Blue,Black,Accident reported,Yes,6000,14,306.0,3.8,6.0
549,Jaguar,39900,Gasoline,Automatic,White,Black,None reported,Yes,53600,6,550.0,5.0,8.0
557,Ford,67482,Hybrid,Automatic,Grey,Black,Accident reported,Yes,11499,7,188.0,2.0,4.0
1873,Land,52000,Hybrid,Automatic,Grey,Black,None reported,Yes,55000,4,395.0,3.0,6.0
602,Mercedes-Benz,9500,Gasoline,Unknown,Grey,Grey,None reported,Yes,135000,5,630.0,4.0,8.0
442,BMW,103000,Gasoline,Automatic,Black,Black,None reported,Yes,16000,12,407.0,4.4,8.0
1786,Mitsubishi,145000,Gasoline,Automatic,Silver,Black,None reported,Yes,8950,20,215.0,3.8,6.0
218,Mercedes-Benz,46000,Gasoline,Automatic,White,Grey,None reported,Yes,18853,20,302.0,5.0,8.0
2113,GMC,48306,Gasoline,Automatic,White,Black,Accident reported,Yes,71999,2,,6.2,
2850,Ford,17500,Hybrid,Automatic,White,Black,None reported,Yes,46000,2,318.0,3.3,6.0
736,Kia,86204,Gasoline,Automatic,Silver,Black,Accident reported,,20708,5,,3.3,
3332,RAM,63875,Hybrid,Automatic,Grey,Black,Accident reported,Yes,41900,4,395.0,5.7,8.0
978,Hyundai,72000,Gasoline,Automatic,White,Other,None reported,Yes,21400,8,429.0,5.0,8.0
3825,Toyota,106000,Hybrid,Automatic,Green,Other,Accident reported,Yes,11800,10,134.0,1.8,4.0
1448,Hyundai,98700,Gasoline,Unknown,Other,Other,None reported,Yes,10340,14,290.0,3.8,6.0
2561,Jaguar,26000,Gasoline,Automatic,Blue,Red,None reported,Yes,52500,9,550.0,5.0,8.0
3391,Audi,43238,Gasoline,Unknown,Black,Red,None reported,Yes,76400,3,500.0,4.0,8.0
1149,Land,3678,Hybrid,Automatic,White,Black,None reported,,81998,1,,,
1626,Mitsubishi,76500,Gasoline,Manual,Black,Black,None reported,Yes,28000,11,291.0,2.0,4.0
3416,Chevrolet,185000,Gasoline,Automatic,Red,Grey,Accident reported,Yes,10500,20,295.0,5.3,8.0
1231,Subaru,162000,Gasoline,Automatic,Grey,Black,None reported,Yes,13999,9,175.0,2.5,4.0
1073,Hyundai,52060,Gasoline,Manual,Black,Black,Accident reported,Yes,15000,10,348.0,3.8,6.0
2226,Pontiac,142314,Gasoline,Manual,Red,Red,Accident reported,Yes,21999,19,400.0,6.0,8.0
2313,Ford,80134,E85 Flex Fuel,Automatic,White,Black,None reported,Yes,13895,7,,2.0,
2272,Mercedes-Benz,30300,Gasoline,Automatic,Silver,Black,None reported,Yes,30500,5,188.0,2.0,4.0
1979,Mercedes-Benz,103000,Gasoline,Automatic,Silver,Black,Accident reported,Yes,40000,12,451.0,6.3,8.0
2765,BMW,117000,Gasoline,Automatic,Black,Other,None reported,Yes,17000,6,248.0,2.0,4.0
805,BMW,114890,Gasoline,Unknown,White,Other,None reported,Yes,20990,13,414.0,4.0,8.0
2714,Honda,107000,Gasoline,Automatic,Silver,Black,None reported,Yes,14000,11,140.0,1.8,4.0
1334,Chevrolet,10000,Gasoline,Automatic,Blue,Black,None reported,Yes,32000,1,155.0,1.3,3.0
1188,Jeep,22109,Gasoline,Automatic,White,Black,,,43389,2,,3.6,
578,Genesis,12000,Gasoline,Automatic,Green,Other,None reported,Yes,41000,2,365.0,3.3,6.0
2970,Dodge,78000,Gasoline,Automatic,Black,Red,Accident reported,Yes,29500,4,360.0,5.7,8.0
1108,Mercedes-Benz,77138,Gasoline,Automatic,White,Black,None reported,,49998,5,,,
3440,Dodge,172024,Gasoline,Automatic,Red,Brown,Accident reported,Yes,7500,14,210.0,3.7,6.0
0,Ford,51000,E85 Flex Fuel,Automatic,Black,Black,Accident reported,Yes,10300,11,300.0,3.7,6.0
2902,Jeep,71000,Gasoline,Automatic,Grey,Black,None reported,Yes,22000,10,285.0,3.6,6.0
2547,Mercedes-Benz,43690,Gasoline,Automatic,Black,Black,None reported,Yes,23500,10,402.0,4.7,8.0
3854,Chevrolet,8974,Gasoline,Automatic,Orange,Black,Accident reported,Yes,79900,4,490.0,6.2,8.0
1815,Acura,32500,Gasoline,Automatic,White,Red,None reported,Yes,32000,4,206.0,2.4,4.0
2452,Volkswagen,61000,Gasoline,Automatic,White,Black,None reported,Yes,15995,7,150.0,1.4,4.0
888,Cadillac,62950,Gasoline,Automatic,Silver,Grey,Accident reported,Yes,17498,10,304.0,3.6,6.0
247,Mercedes-Benz,19800,Gasoline,Automatic,Silver,Black,None reported,Yes,53800,5,362.0,3.0,6.0
1432,Hyundai,89000,Gasoline,Manual,White,Black,Accident reported,Yes,12500,11,344.0,3.8,6.0
3874,Cadillac,74414,Gasoline,Automatic,Black,Other,None reported,Yes,26000,5,310.0,3.6,6.0
2398,Lexus,16425,Hybrid,Automatic,Grey,Black,Accident reported,,33200,4,,2.5,
3470,Porsche,2076,,Automatic,Grey,Red,None reported,,115998,4,,,
3350,Chevrolet,3158,Gasoline,Automatic,Red,Red,None reported,Yes,85989,2,490.0,6.2,8.0
3541,Mercedes-Benz,58375,Gasoline,Automatic,White,Other,None reported,Yes,24999,8,302.0,3.5,6.0
1298,Audi,119000,Gasoline,Automatic,Grey,Other,None reported,Yes,12000,12,211.0,2.0,4.0
2002,BMW,76474,Gasoline,Unknown,White,Black,None reported,Yes,32000,9,445.0,4.4,8.0
650,Lexus,101000,Hybrid,Automatic,Black,Black,Accident reported,Yes,16500,9,134.0,1.8,4.0
3441,Jeep,57237,Gasoline,Automatic,Black,Black,None reported,Yes,22500,12,285.0,3.6,6.0
1351,Land,40000,Gasoline,Unknown,Blue,Brown,Accident reported,Yes,20000,13,510.0,5.0,8.0
2820,RAM,16184,Gasoline,Automatic,Other,Black,None reported,,46999,2,,5.7,
2097,Ford,33705,Gasoline,Automatic,White,Other,Accident reported,Yes,36995,3,,2.3,
175,Genesis,4785,Gasoline,Automatic,Black,Black,None reported,Yes,42850,1,,2.0,
278,Nissan,53677,Gasoline,Automatic,Red,Grey,None reported,Yes,27900,5,390.0,5.6,8.0
1644,Chevrolet,56000,E85 Flex Fuel,Automatic,Red,Black,Accident reported,Yes,18000,12,320.0,5.3,8.0
2860,BMW,60255,Gasoline,Manual,Yellow,Black,None reported,Yes,28750,22,333.0,3.2,6.0
3363,Ford,37100,E85 Flex Fuel,Automatic,Black,Black,None reported,Yes,46000,6,395.0,5.0,8.0
999,Chevrolet,207571,Gasoline,Automatic,Black,Black,Accident reported,Yes,21000,7,355.0,5.3,8.0
2536,Acura,70000,Gasoline,Automatic,Black,Black,Accident reported,Yes,15051,12,305.0,3.7,6.0
3166,Lamborghini,22000,Gasoline,Automatic,Black,Black,None reported,Yes,150000,11,550.0,5.2,10.0
691,Kia,152520,Gasoline,Automatic,White,Other,None reported,Yes,10900,12,200.0,2.4,4.0
2636,Lexus,59419,Gasoline,Automatic,Silver,Other,None reported,Yes,73000,4,383.0,5.7,8.0
416,Ford,35597,E85 Flex Fuel,Automatic,Black,Black,None reported,,47756,5,,6.2,
1507,BMW,132000,Gasoline,Automatic,Black,Other,None reported,Yes,11000,13,300.0,3.0,6.0
217,Ford,109357,Gasoline,Automatic,Green,Other,None reported,Yes,12749,23,310.0,6.8,10.0
1017,Mitsubishi,77000,Gasoline,Manual,Silver,Black,None reported,Yes,57000,18,286.0,2.0,4.0
1978,Chevrolet,53433,Gasoline,Automatic,Blue,Grey,None reported,Yes,36950,5,355.0,5.3,8.0
3824,Porsche,56985,Gasoline,Automatic,Blue,Grey,None reported,Yes,65900,11,400.0,3.8,6.0
3569,Lexus,103866,Gasoline,Automatic,Other,Other,Accident reported,Yes,24700,7,295.0,3.5,6.0
3730,Pontiac,62310,Gasoline,Automatic,Grey,Black,None reported,Yes,12900,17,177.0,2.4,4.0
1047,Tesla,43534,,Automatic,Black,Black,None reported,Yes,65990,4,534.0,,
3449,GMC,88450,Gasoline,Automatic,Black,Other,Accident reported,Yes,42900,5,420.0,6.2,8.0
2359,Ford,138415,Gasoline,Automatic,Silver,Black,Accident reported,Yes,15500,10,365.0,3.5,6.0
727,RAM,1300,Gasoline,Automatic,Red,Black,None reported,Yes,48000,2,410.0,6.4,8.0
2147,RAM,117878,Diesel,Unknown,Red,Black,None reported,Yes,42000,7,350.0,6.7,6.0
2890,McLaren,9989,Gasoline,Automatic,Black,Black,None reported,Yes,324995,4,710.0,4.0,8.0
2801,Land,12425,Gasoline,Automatic,Red,Other,None reported,,57619,1,,,
3807,Toyota,48842,Gasoline,Automatic,White,Other,Accident reported,Yes,39857,5,,4.0,
449,BMW,65800,Gasoline,Unknown,White,Red,None reported,Yes,44950,9,425.0,3.0,6.0
1402,Lincoln,18160,Gasoline,Automatic,Silver,Other,None reported,,46850,3,,2.7,
376,Hyundai,26895,Gasoline,Automatic,White,Black,,,29800,2,,2.5,
1378,Lincoln,23500,Gasoline,Automatic,Black,Black,Accident reported,Yes,50000,6,450.0,3.5,6.0
1174,Chevrolet,3715,Gasoline,Automatic,Black,Black,None reported,Yes,150000,4,650.0,6.2,8.0
2528,Lincoln,124400,Gasoline,Automatic,White,Black,Accident reported,Yes,9500,9,305.0,3.7,6.0
433,Hyundai,128000,Gasoline,Manual,Blue,Red,None reported,Yes,11000,10,201.0,1.6,4.0
3135,RAM,57300,Gasoline,Automatic,Black,Black,None reported,Yes,43500,4,395.0,5.7,8.0
371,GMC,30900,Gasoline,Automatic,White,Black,None reported,Yes,27654,4,,2.5,
3286,BMW,52253,Gasoline,Unknown,White,Black,None reported,Yes,34500,5,228.0,2.0,4.0
2403,Ford,150000,Gasoline,Automatic,Black,Grey,Accident reported,Yes,17100,9,310.0,3.5,6.0
2130,BMW,123000,Gasoline,Automatic,Purple,Black,None reported,Yes,15000,15,300.0,3.0,6.0
700,Volvo,59271,Gasoline,Automatic,Blue,Black,None reported,Yes,29900,9,325.0,3.0,6.0
1468,Lexus,33655,Gasoline,Automatic,White,Brown,None reported,Yes,62900,8,383.0,5.7,8.0
644,Audi,83000,Diesel,Automatic,Black,Black,Accident reported,Yes,18999,9,150.0,2.0,4.0
2857,Toyota,57852,Gasoline,Automatic,Silver,Grey,,,13900,16,210.0,3.3,6.0
665,Chevrolet,195361,Gasoline,Unknown,Black,Black,Accident reported,Yes,26000,7,355.0,5.3,8.0
915,Bentley,27858,Gasoline,Automatic,Other,Other,None reported,Yes,197750,2,,4.0,
1510,Lexus,42000,Gasoline,Automatic,Silver,Grey,Accident reported,Yes,15999,22,290.0,4.3,8.0
1211,Chevrolet,13465,Gasoline,Automatic,White,Black,None reported,Yes,44900,7,455.0,6.2,8.0
2481,Chevrolet,33400,Gasoline,Automatic,White,Black,None reported,Yes,28000,3,250.0,2.0,4.0
3358,Toyota,17500,Gasoline,Automatic,Red,Grey,None reported,Yes,15100,8,132.0,1.8,4.0
1487,Ford,3596,Gasoline,Automatic,Blue,Black,None reported,,56900,3,,2.7,
3548,BMW,82978,Gasoline,Automatic,Black,White,None reported,Yes,18700,10,445.0,4.4,8.0
794,Mazda,83150,Gasoline,Automatic,White,Other,None reported,Yes,6950,17,244.0,2.3,4.0
3600,Porsche,154,Gasoline,Automatic,Green,Black,None reported,,274900,1,,3.8,
246,Nissan,46496,Gasoline,Automatic,Black,Grey,None reported,Yes,41000,7,375.0,5.6,8.0
3593,Chevrolet,70000,Gasoline,Automatic,White,Grey,Accident reported,Yes,17900,7,305.0,3.6,6.0
734,Ford,105500,Gasoline,Manual,Silver,Black,None reported,Yes,19000,12,412.0,5.0,8.0
505,BMW,2950,Hybrid,Automatic,Black,Brown,None reported,Yes,87000,1,375.0,3.0,6.0
3116,Mercedes-Benz,139200,Diesel,Automatic,White,Black,Accident reported,Yes,22000,8,161.0,2.1,4.0
923,Dodge,100100,Unknown,Unknown,Purple,Black,None reported,Yes,17000,14,,,
3679,Land,49799,Gasoline,Automatic,Brown,Brown,None reported,Yes,37500,8,340.0,3.0,6.0
1454,Chrysler,24847,Gasoline,Automatic,White,Grey,None reported,Yes,13046,19,,3.2,
3452,Chevrolet,49000,Gasoline,Automatic,White,Black,None reported,Yes,44900,4,355.0,5.3,8.0
1592,BMW,23700,Gasoline,Unknown,Black,Black,None reported,Yes,42800,9,425.0,3.0,6.0
532,Nissan,14353,Gasoline,Automatic,Black,Grey,None reported,Yes,63900,4,375.0,5.6,8.0
1278,Cadillac,120000,Gasoline,Automatic,Black,Black,None reported,Yes,55000,4,420.0,6.2,8.0
108,Jeep,27300,Gasoline,Automatic,Green,Black,None reported,Yes,47500,2,285.0,3.6,6.0
1874,Mercedes-Benz,23044,Hybrid,Automatic,Green,Black,None reported,,72598,4,,,
1041,Jeep,30630,Gasoline,Automatic,Blue,Black,None reported,,39998,3,,,
2420,Ford,162000,Gasoline,Automatic,Grey,Black,Accident reported,Yes,7500,15,262.0,3.5,6.0
3799,RAM,124000,Gasoline,Automatic,Black,Black,None reported,Yes,24850,10,395.0,5.7,8.0
2776,Ford,57000,Gasoline,Automatic,Grey,Grey,Accident reported,Yes,37500,4,375.0,3.5,6.0
2229,Porsche,72329,Gasoline,Automatic,Silver,Black,None reported,Yes,29500,9,340.0,3.0,6.0
3263,RAM,73690,Gasoline,Automatic,Blue,Grey,Accident reported,Yes,27000,7,395.0,5.7,8.0
3819,Porsche,22500,Gasoline,Automatic,Grey,Other,None reported,Yes,78000,8,350.0,3.4,6.0
543,Nissan,102000,,Automatic,Silver,Grey,None reported,Yes,4200,12,107.0,,
2974,Ford,8237,Gasoline,Manual,Grey,Black,None reported,Yes,62900,6,526.0,5.2,8.0
2501,Jeep,52775,Gasoline,Automatic,Grey,Black,None reported,Yes,39799,5,285.0,3.6,6.0
2817,Nissan,36466,Gasoline,Automatic,Silver,Other,None reported,,24980,2,,3.5,
259,INFINITI,60058,Gasoline,Automatic,White,Other,Accident reported,Yes,15000,11,328.0,3.7,6.0
2405,Bentley,7960,Gasoline,Automatic,White,White,None reported,Yes,81500,16,552.0,6.0,12.0
3123,Jeep,93400,E85 Flex Fuel,Automatic,White,Black,None reported,Yes,18900,9,290.0,3.6,6.0
1869,Toyota,198000,Gasoline,Automatic,White,Grey,None reported,Yes,14000,9,270.0,3.5,6.0
3131,Kia,108559,Gasoline,Automatic,Silver,Black,None reported,,15998,7,,3.3,
927,Porsche,36798,Gasoline,Automatic,Grey,Black,Accident reported,Yes,49500,6,,2.0,
612,Toyota,138700,E85 Flex Fuel,Automatic,White,Grey,Accident reported,Yes,18800,11,381.0,5.7,8.0
1330,Rivian,1150,,Automatic,Green,Black,None reported,Yes,96850,1,835.0,,
3258,BMW,13735,Gasoline,Automatic,Black,Black,None reported,,77897,1,,4.4,
219,Mercedes-Benz,123112,Gasoline,Automatic,Silver,Black,Accident reported,Yes,104999,17,382.0,5.5,8.0
3138,Ford,18000,Gasoline,Automatic,Silver,Black,None reported,Yes,29000,11,412.0,5.0,8.0
485,BMW,112000,Gasoline,Unknown,Grey,Black,Accident reported,Yes,28000,15,420.0,4.0,8.0
2323,Lexus,132000,Gasoline,Automatic,Black,Other,None reported,Yes,9999,13,272.0,3.5,6.0
1094,Jaguar,29000,Gasoline,Automatic,White,Black,None reported,Yes,34500,5,247.0,2.0,4.0
3530,Mercedes-Benz,120800,Gasoline,Automatic,Red,Other,None reported,Yes,13900,16,268.0,3.5,6.0
3758,Ford,158000,Gasoline,Automatic,White,Grey,Accident reported,Yes,8500,18,305.0,6.8,10.0
258,Lamborghini,13692,Gasoline,Automatic,Black,Red,None reported,Yes,257000,3,641.0,4.0,8.0
2893,Mercedes-Benz,79876,Gasoline,Automatic,Black,White,None reported,Yes,45750,9,577.0,5.5,8.0
386,BMW,73500,Gasoline,Automatic,Black,Blue,None reported,Yes,32000,6,320.0,3.0,6.0
847,BMW,24300,Hybrid,Automatic,Grey,Other,None reported,Yes,49999,3,382.0,3.0,6.0
2987,Mazda,7250,Gasoline,Manual,Grey,Black,None reported,Yes,35619,2,181.0,2.0,4.0
1586,Ford,36294,Diesel,Automatic,White,Grey,,,77535,2,,6.7,
3410,Lexus,30761,Gasoline,Automatic,White,Black,None reported,,44950,3,,3.5,
3954,Mercedes-Benz,72784,Gasoline,Automatic,Blue,White,None reported,Yes,34900,8,449.0,4.7,8.0
3616,Jaguar,45000,Gasoline,Automatic,Silver,Other,None reported,Yes,12500,24,290.0,4.0,8.0
2881,Mitsubishi,98385,Gasoline,Automatic,Silver,Black,Accident reported,Yes,10500,9,166.0,2.4,4.0
1011,Ford,186268,E85 Flex Fuel,Automatic,Blue,Black,None reported,Yes,4500,12,240.0,3.0,6.0
209,Toyota,50361,Gasoline,Automatic,Silver,Black,None reported,,65998,8,,,
3629,Dodge,39960,Gasoline,Automatic,White,Grey,Accident reported,Yes,28500,3,375.0,5.7,8.0
2066,Chevrolet,49688,,Automatic,Blue,Grey,None reported,Yes,24900,4,200.0,,
1228,Tesla,27224,,Automatic,Black,Black,None reported,,65999,4,,,
910,Mercedes-Benz,60000,Gasoline,Unknown,White,Black,Accident reported,Yes,37000,13,536.0,5.5,8.0
1725,Chevrolet,196300,E85 Flex Fuel,Automatic,Black,Black,None reported,Yes,10995,10,320.0,5.3,8.0
2800,MINI,43073,Gasoline,Automatic,Orange,Black,None reported,,17999,8,,2.0,
2689,Porsche,87500,Gasoline,Unknown,Blue,Other,None reported,Yes,28000,6,252.0,2.0,4.0
3999,BMW,34000,Gasoline,Automatic,White,Brown,None reported,Yes,59335,4,335.0,3.0,6.0
596,Audi,14724,Hybrid,Automatic,White,Black,None reported,,101998,3,,,
2045,Dodge,76857,Gasoline,Manual,Black,Black,Accident reported,Yes,8100,8,160.0,2.0,4.0
1407,BMW,59000,Gasoline,Automatic,Black,Other,None reported,Yes,25000,8,240.0,2.0,4.0
296,Porsche,50166,Gasoline,Automatic,White,Black,Accident reported,Yes,43550,6,,3.6,
2686,Porsche,1518,Gasoline,Automatic,Other,Brown,None reported,Yes,194965,1,473.0,3.0,6.0
507,Toyota,44101,Gasoline,Automatic,Grey,Black,None reported,Yes,45423,4,,5.7,
