Index,brand,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,car_age,horsepower,engine_size,cylinder_count
0,Ford,51000,E85 Flex Fuel,Automatic,Black,Black,Accident reported,Yes,10300,12,300.0,3.7,6.0
1,Hyundai,34742,Gasoline,Automatic,Other,Grey,Accident reported,Yes,38005,4,,3.8,
2,Lexus,22372,Gasoline,Automatic,Blue,Black,None reported,Unknown,54598,3,,,
3,INFINITI,88900,Hybrid,Automatic,Black,Black,None reported,Yes,15500,10,354.0,3.5,6.0
4,Audi,9835,Gasoline,Automatic,White,Black,None reported,Unknown,34999,4,,2.0,
5,Acura,136397,Gasoline,Unknown,Silver,Other,None reported,Unknown,14798,9,,,
6,Audi,84000,Gasoline,Automatic,Blue,Black,None reported,Yes,31000,8,292.0,2.0,4.0
7,BMW,242000,Gasoline,Automatic,Green,Green,None reported,Yes,7300,24,282.0,4.4,8.0
8,Lexus,23436,Gasoline,Automatic,Black,Black,None reported,Yes,41927,4,311.0,3.5,6.0
9,Tesla,34000,Unknown,Automatic,Black,Black,None reported,Yes,69950,5,534.0,,
10,Land,27608,Gasoline,Automatic,White,Other,None reported,Unknown,73897,4,,,
11,Aston,22770,Gasoline,Automatic,Silver,Black,None reported,Yes,184606,6,715.0,5.2,12.0
12,Toyota,12500,Gasoline,Automatic,Yellow,Black,None reported,Yes,53500,4,382.0,3.0,6.0
13,Lincoln,18196,Gasoline,Unknown,Black,Brown,None reported,Yes,62000,3,400.0,3.0,6.0
14,Jaguar,15903,Gasoline,Automatic,Silver,Black,None reported,Unknown,47998,5,,,
15,Land,79800,Gasoline,Automatic,White,Black,None reported,Yes,29990,12,375.0,5.0,8.0
16,Mercedes-Benz,1685,Gasoline,Automatic,Grey,White,None reported,Yes,250000,4,,2.0,
17,Dodge,61074,Gasoline,Automatic,Black,Grey,None reported,Yes,16800,12,305.0,3.6,6.0
18,Nissan,74000,Gasoline,Manual,Purple,Other,None reported,Yes,11000,22,287.0,3.5,6.0
19,Jaguar,35250,Gasoline,Automatic,Green,Black,None reported,Yes,68750,7,550.0,5.0,8.0
20,Genesis,5400,Gasoline,Automatic,Green,Other,Unknown,Unknown,60000,2,375.0,3.5,6.0
21,Chevrolet,133510,E85 Flex Fuel,Automatic,Blue,Black,None reported,Yes,4500,25,120.0,2.2,4.0
22,BMW,25990,Gasoline,Automatic,White,Other,None reported,Unknown,38598,5,,,
23,Ford,2823,Gasoline,Automatic,Silver,Black,None reported,Yes,58504,2,,3.5,
24,Chevrolet,52000,Gasoline,Automatic,Blue,Black,None reported,Yes,61000,4,355.0,5.3,8.0
25,Hyundai,11650,Gasoline,Unknown,Black,Black,None reported,Yes,32300,3,276.0,2.0,4.0
26,Nissan,96541,Gasoline,Automatic,Blue,Black,None reported,Unknown,13998,9,,,
27,Mercedes-Benz,17500,Gasoline,Automatic,Grey,Black,None reported,Yes,59995,4,382.0,2.0,4.0
28,BMW,69000,Gasoline,Automatic,Grey,Black,None reported,Yes,25700,10,445.0,4.4,8.0
29,Audi,81880,E85 Flex Fuel,Automatic,Black,Black,None reported,Yes,21375,8,,2.0,
30,Mercedes-Benz,28800,Gasoline,Automatic,Silver,Black,None reported,Yes,48000,7,362.0,3.0,6.0
31,Dodge,300183,Gasoline,Automatic,Silver,Grey,Accident reported,Yes,10900,19,345.0,5.7,8.0
32,BMW,35035,Hybrid,Automatic,Black,Black,None reported,Unknown,24998,5,,,
33,Kia,171000,Gasoline,Automatic,Black,Black,None reported,Yes,5999,14,276.0,3.5,6.0
34,Lexus,118700,Gasoline,Automatic,Black,Other,None reported,Yes,46900,9,383.0,5.7,8.0
35,Jeep,119000,Gasoline,Automatic,Red,Black,None reported,Yes,15900,8,180.0,2.4,4.0
36,BMW,44261,Gasoline,Automatic,Grey,Black,None reported,Unknown,33598,7,,,
37,Audi,125575,Gasoline,Automatic,Silver,Black,None reported,Yes,8999,13,211.0,2.0,4.0
38,Hyundai,16200,Gasoline,Automatic,Gold,Other,None reported,Yes,8200,18,173.0,2.7,6.0
39,BMW,70000,Gasoline,Automatic,White,Other,Accident reported,Yes,20000,11,240.0,2.0,4.0
40,Bentley,20200,E85 Flex Fuel,Automatic,Black,Black,None reported,Yes,79950,14,552.0,6.0,12.0
41,Honda,2978,Gasoline,Automatic,Silver,Grey,None reported,Unknown,45498,2,,,
42,Dodge,189719,Diesel,Automatic,White,Grey,Accident reported,Yes,14000,18,,3.0,6.0
43,BMW,9949,Gasoline,Automatic,Blue,Black,None reported,Unknown,75798,6,,,
44,Lucid,3552,Unknown,Automatic,Red,Other,None reported,Yes,119999,3,536.0,,
45,Audi,54000,Gasoline,Automatic,Black,Brown,Accident reported,Yes,36880,13,310.0,3.0,6.0
46,Chevrolet,51351,Gasoline,Automatic,Black,Black,None reported,Yes,43147,4,,5.3,
47,MINI,24280,Gasoline,Automatic,Black,Black,Accident reported,Yes,29000,8,228.0,2.0,4.0
48,Toyota,89148,Gasoline,Automatic,Black,Black,None reported,Yes,17500,9,268.0,3.5,6.0
49,Porsche,73043,Gasoline,Automatic,White,Black,None reported,Yes,30990,8,300.0,3.6,6.0
50,Mercedes-Benz,60000,Gasoline,Unknown,Grey,Black,Accident reported,Yes,52500,8,503.0,4.0,8.0
51,Honda,73549,Gasoline,Automatic,Other,Black,Accident reported,Unknown,20848,9,,2.4,
52,Hummer,110900,Gasoline,Automatic,Grey,Black,None reported,Yes,19500,20,325.0,6.0,8.0
53,Porsche,39000,Gasoline,Automatic,Blue,Black,None reported,Yes,73000,12,400.0,3.8,6.0
54,Mercedes-Benz,120000,Gasoline,Unknown,Black,Black,None reported,Yes,19800,9,208.0,2.0,4.0
55,Chrysler,134602,Gasoline,Unknown,Blue,Black,None reported,Yes,7500,16,250.0,3.5,6.0
56,Nissan,1094,Gasoline,Automatic,Blue,Grey,None reported,Unknown,30999,2,,1.5,
57,Audi,83500,Gasoline,Unknown,Silver,Black,None reported,Yes,6500,15,200.0,2.0,4.0
58,Ford,37060,Gasoline,Manual,Black,Black,None reported,Yes,28500,11,420.0,5.0,8.0
59,Acura,97700,Gasoline,Unknown,Blue,Other,None reported,Yes,10995,15,300.0,3.7,6.0
60,Volvo,40000,Hybrid,Unknown,Black,Black,None reported,Yes,42000,7,400.0,2.0,4.0
61,Audi,8940,Gasoline,Automatic,Red,Black,None reported,Unknown,144900,7,,5.2,
62,Mercedes-Benz,186000,Gasoline,Automatic,Black,Other,Accident reported,Yes,10000,11,302.0,3.5,6.0
63,Toyota,13180,Gasoline,Automatic,Other,Other,None reported,Unknown,23998,4,,,
64,Lexus,104000,Gasoline,Automatic,Black,Black,None reported,Yes,21000,11,306.0,3.5,6.0
65,BMW,8500,Hybrid,Unknown,Grey,Other,None reported,Yes,67900,2,382.0,3.0,6.0
66,BMW,19069,Gasoline,Automatic,White,Other,None reported,Unknown,69998,6,,,
67,Cadillac,6090,Gasoline,Automatic,White,Other,None reported,Yes,46900,2,237.0,2.0,4.0
68,Lucid,4900,Unknown,Automatic,Red,Black,None reported,Yes,99000,3,536.0,,
69,Audi,47523,Gasoline,Unknown,Black,Black,None reported,Yes,31000,6,248.0,2.0,4.0
70,Chrysler,43000,Gasoline,Automatic,Silver,Black,Accident reported,Yes,19995,19,425.0,6.1,8.0
71,Bentley,14684,Gasoline,Automatic,White,White,None reported,Yes,130000,8,582.0,6.0,12.0
72,BMW,57800,Gasoline,Unknown,Black,Red,None reported,Yes,55999,6,425.0,3.0,6.0
73,Toyota,952,Gasoline,Manual,Silver,Grey,None reported,Yes,49950,2,300.0,1.6,3.0
74,Audi,21240,Gasoline,Automatic,Black,Black,Accident reported,Yes,59950,6,444.0,2.9,6.0
75,Porsche,59338,Gasoline,Unknown,Black,Black,None reported,Yes,42499,6,335.0,3.0,6.0
76,Lamborghini,255,Gasoline,Automatic,Other,Other,None reported,Unknown,359991,2,,5.2,
77,Maserati,23230,Gasoline,Automatic,Black,Black,None reported,Yes,44999,6,424.0,3.0,6.0
78,Jaguar,48000,Gasoline,Automatic,Red,Black,Accident reported,Yes,30000,8,340.0,3.0,6.0
79,Lexus,41059,Gasoline,Automatic,White,Other,None reported,Yes,11100,20,225.0,3.3,6.0
80,Land,21240,Gasoline,Automatic,White,Black,None reported,Unknown,37998,5,,,
81,Porsche,11500,Gasoline,Automatic,Silver,Other,None reported,Yes,72000,10,340.0,3.4,6.0
82,Genesis,9950,Gasoline,Automatic,Silver,Blue,None reported,Yes,53950,4,365.0,3.3,6.0
83,Volkswagen,633,Gasoline,Manual,White,Black,None reported,Yes,47999,2,315.0,2.0,4.0
84,Hyundai,66000,Hybrid,Automatic,White,Grey,Accident reported,Yes,15900,10,199.0,2.4,4.0
85,Audi,59715,Gasoline,Automatic,Grey,Black,Accident reported,Yes,45000,11,560.0,4.0,8.0
86,BMW,85252,Gasoline,Automatic,Black,Black,None reported,Yes,18500,13,326.0,3.0,6.0
87,Mercedes-Benz,17900,Hybrid,Automatic,Black,Black,Accident reported,Yes,80000,5,362.0,3.0,6.0
88,BMW,25500,Gasoline,Automatic,White,Black,None reported,Yes,55000,9,560.0,4.4,8.0
89,Subaru,210703,Gasoline,Manual,Green,Other,Unknown,Unknown,2300,21,165.0,2.5,4.0
90,Hyundai,3800,Gasoline,Manual,White,Black,None reported,Yes,34000,2,276.0,2.0,4.0
91,Kia,36602,Hybrid,Automatic,Blue,Other,None reported,Yes,31995,3,,1.6,
92,Rivian,2800,Unknown,Automatic,White,Green,None reported,Yes,92000,2,835.0,,
93,Aston,2165,Gasoline,Automatic,Black,Black,None reported,Yes,279950,4,,5.2,
94,Mercedes-Benz,33000,Gasoline,Automatic,Red,Black,Accident reported,Yes,29900,7,241.0,2.0,4.0
95,BMW,76009,Gasoline,Automatic,White,Other,None reported,Yes,24950,9,300.0,3.0,6.0
96,Jeep,31349,Gasoline,Automatic,Other,Black,None reported,Unknown,39366,5,,5.7,
97,Lexus,48000,Gasoline,Unknown,Orange,Red,None reported,Yes,32900,10,306.0,3.5,6.0
98,BMW,91420,Gasoline,Automatic,Black,Black,None reported,Yes,8900,20,215.0,2.5,6.0
