,brand,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,engine_size,horsepower,cylinder_count,log_transformed_price,car_age
0,Ford,51000,E85 Flex Fuel,Automatic,Black,Black,yes_accident,Yes,3.7,300.0,6.0,9.239996256883693,11
1,Hyundai,34742,Gasoline,Automatic,Other,Grey,yes_accident,Yes,3.8,331.9684177611007,6.254491996079713,10.545499320981303,3
2,Lexus,22372,Gasoline,Automatic,Blue,Black,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,10.90777084654696,2
3,INFINITI,88900,Hybrid,Automatic,Black,Black,no_accident,Yes,3.5,354.0,6.0,9.648659816955295,9
4,Audi,9835,Gasoline,Automatic,White,Black,no_accident,Unknown,2.0,331.9684177611007,6.254491996079713,10.46310334047155,3
5,Acura,136397,Gasoline,Unknown,Silver,Other,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,9.602314889901848,8
6,Audi,84000,Gasoline,Automatic,Blue,Black,no_accident,Yes,2.0,292.0,4.0,10.34177474101152,7
7,BMW,242000,Gasoline,Automatic,Green,Green,no_accident,Yes,4.4,282.0,8.0,8.895766604056085,23
8,Lexus,23436,Gasoline,Automatic,Black,Black,no_accident,Yes,3.5,311.0,6.0,10.643709140482002,3
9,Tesla,34000,Unknown,Automatic,Black,Black,no_accident,Yes,3.7039586206896553,534.0,6.254491996079713,11.155550275917102,4
10,Land,27608,Gasoline,Automatic,White,Other,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,11.210441042970608,3
11,Aston,22770,Gasoline,Automatic,Silver,Black,no_accident,Yes,5.2,715.0,12.0,12.125984520158603,5
12,Toyota,12500,Gasoline,Automatic,Yellow,Black,no_accident,Yes,3.0,382.0,6.0,10.887455624298198,3
13,Lincoln,18196,Gasoline,Unknown,Black,Brown,no_accident,Yes,3.0,400.0,6.0,11.034905792929415,2
14,Jaguar,15903,Gasoline,Automatic,Silver,Black,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,10.778935456339678,4
15,Land,79800,Gasoline,Automatic,White,Black,no_accident,Yes,5.0,375.0,8.0,10.30865261563529,11
16,Mercedes-Benz,1685,Gasoline,Automatic,Grey,White,no_accident,Yes,2.0,331.9684177611007,6.254491996079713,12.429220196836383,3
17,Dodge,61074,Gasoline,Automatic,Black,Grey,no_accident,Yes,3.6,305.0,6.0,9.729193687429403,11
18,Nissan,74000,Gasoline,Manual,Purple,Other,no_accident,Yes,3.5,287.0,6.0,9.305741456739435,21
19,Jaguar,35250,Gasoline,Automatic,Green,Black,no_accident,Yes,5.0,550.0,8.0,11.13824656087758,6
20,Genesis,5400,Gasoline,Automatic,Green,Other,unknown,Unknown,3.5,375.0,6.0,11.002116507732017,1
21,Chevrolet,133510,E85 Flex Fuel,Automatic,Blue,Black,no_accident,Yes,2.2,120.0,4.0,8.412054873292933,24
22,BMW,25990,Gasoline,Automatic,White,Other,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,10.560981648381585,4
23,Ford,2823,Gasoline,Automatic,Silver,Black,no_accident,Yes,3.5,331.9684177611007,6.254491996079713,10.976867499653059,1
24,Chevrolet,52000,Gasoline,Automatic,Blue,Black,no_accident,Yes,5.3,355.0,8.0,11.0186455364637,3
25,Hyundai,11650,Gasoline,Unknown,Black,Black,no_accident,Yes,2.0,276.0,4.0,10.382853468483827,2
26,Nissan,96541,Gasoline,Automatic,Blue,Black,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,9.546741177474825,8
27,Mercedes-Benz,17500,Gasoline,Automatic,Grey,Black,no_accident,Yes,2.0,382.0,4.0,11.002033172315251,3
28,BMW,69000,Gasoline,Automatic,Grey,Black,no_accident,Yes,4.4,445.0,8.0,10.154285180632154,9
29,Audi,81880,E85 Flex Fuel,Automatic,Black,Black,no_accident,Yes,2.0,331.9684177611007,6.254491996079713,9.970024076336372,7
30,Mercedes-Benz,28800,Gasoline,Automatic,Silver,Black,no_accident,Yes,3.0,362.0,6.0,10.778977123006351,6
31,Dodge,300183,Gasoline,Automatic,Silver,Grey,yes_accident,Yes,5.7,345.0,8.0,9.296609807128359,18
32,BMW,35035,Hybrid,Automatic,Black,Black,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,10.126591103050316,4
33,Kia,171000,Gasoline,Automatic,Black,Black,no_accident,Yes,3.5,276.0,6.0,8.699514748210191,13
34,Lexus,118700,Gasoline,Automatic,Black,Other,no_accident,Yes,5.7,383.0,8.0,10.75579427616868,8
35,Jeep,119000,Gasoline,Automatic,Red,Black,no_accident,Yes,2.4,180.0,4.0,9.674137279312397,7
36,BMW,44261,Gasoline,Automatic,Grey,Black,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,10.42225158360364,6
37,Audi,125575,Gasoline,Automatic,Silver,Black,no_accident,Yes,2.0,211.0,4.0,9.104979856318357,12
